unit,accident,victim,pers_inv,geo,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
NR,COLLIS,INJ,TOTAL,RO,0,0,4,1,13,0,1,14,3,0,0,0
NR,COLLIS,INJ,TOTAL,SE,1,0,0,0,0,0,1,9,0,0,0,0
NR,COLLIS,INJ,TOTAL,SI,0,0,1,1,0,0,6,0,2,7,0,0
NR,COLLIS,INJ,TOTAL,SK,2,1,0,0,0,7,0,15,0,1,0,0
NR,COLLIS,INJ,TOTAL,TR,0,0,2,0,0,29,16,29,7,31,0,11
NR,COLLIS,INJ,TOTAL,UK,0,1,0,0,1,0,0,0,0,0,0,1
NR,COLLIS,INJ,UA_PER,AT,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,UA_PER,BE,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,UA_PER,BG,0,0,0,0,0,0,0,0,3,5,2,0
NR,COLLIS,INJ,UA_PER,CH,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,UA_PER,CHUNNEL,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,UA_PER,CZ,0,1,1,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,UA_PER,DE,0,0,1,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,UA_PER,DK,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,UA_PER,EE,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,UA_PER,EL,0,0,1,0,0,0,0,2,0,0,0,0
NR,COLLIS,INJ,UA_PER,ES,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,UA_PER,EU28,0,3,4,4,0,0,2,8,0,0,0,0
NR,COLLIS,INJ,UA_PER,FI,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,UA_PER,FR,0,0,0,2,0,0,1,0,0,0,0,1
NR,COLLIS,INJ,UA_PER,HR,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,UA_PER,HU,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,UA_PER,IE,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,UA_PER,IT,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,UA_PER,LT,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,UA_PER,LU,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,UA_PER,LV,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,UA_PER,NL,0,2,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,UA_PER,NO,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,UA_PER,PL,0,0,0,2,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,UA_PER,PT,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,UA_PER,RO,0,0,0,0,0,0,1,6,0,0,0,0
NR,COLLIS,INJ,UA_PER,SE,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,UA_PER,SI,0,0,1,0,0,0,0,0,2,0,0,0
NR,COLLIS,INJ,UA_PER,SK,0,0,0,0,0,0,0,0,0,1,0,0
NR,COLLIS,INJ,UA_PER,UK,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,UNK,ME,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,UNK,MK,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,INJ,UNK,TR,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,EMP,AT,0,0,1,0,2,0,0,0,0,0,0,0
NR,COLLIS,KIL,EMP,BE,0,1,0,0,0,1,0,1,0,0,0,0
NR,COLLIS,KIL,EMP,BG,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,EMP,CH,1,0,0,0,1,1,0,0,0,0,0,0
NR,COLLIS,KIL,EMP,CHUNNEL,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,EMP,CZ,0,0,1,0,0,0,0,0,0,2,1,0
NR,COLLIS,KIL,EMP,DE,0,4,1,0,1,4,2,0,1,1,0,0
NR,COLLIS,KIL,EMP,DK,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,EMP,EE,0,0,0,0,0,0,0,1,0,0,0,0
NR,COLLIS,KIL,EMP,EL,0,2,0,0,0,0,0,0,0,0,0,1
NR,COLLIS,KIL,EMP,ES,0,0,0,0,0,0,0,2,0,1,0,2
NR,COLLIS,KIL,EMP,EU28,1,13,3,0,3,10,3,6,0,0,0,0
NR,COLLIS,KIL,EMP,FI,0,0,0,0,0,0,1,0,0,0,0,0
NR,COLLIS,KIL,EMP,FR,0,0,0,0,0,0,0,0,0,0,0,2
NR,COLLIS,KIL,EMP,HR,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,EMP,HU,0,0,0,0,0,0,0,1,0,0,1,0
NR,COLLIS,KIL,EMP,IE,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,EMP,IT,0,4,0,0,0,0,0,0,1,0,0,3
NR,COLLIS,KIL,EMP,LT,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,EMP,LU,1,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,EMP,LV,0,0,0,0,0,0,0,0,0,2,0,0
NR,COLLIS,KIL,EMP,ME,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,EMP,MK,0,0,0,0,0,0,0,0,0,0,0,0
NR,COLLIS,KIL,EMP,NL,0,0,0,0,0,0,0,0,1,0,0,0
